filename,width,height,class,xmin,ymin,xmax,ymax
Alexandre_Daigle_0001.jpg,320,320,white,72,47,257,256
Alexandre_Despatie_0001.jpg,320,320,white,87,55,225,235
Alexandre_Herchcovitch_0001.jpg,320,320,white,55,48,250,250
Alexandre_Vinokourov_0001.jpg,320,320,white,85,48,261,232
Alexis_Bledel_0001.jpg,320,320,white,87,57,238,238
Alexis_Dennisoff_0001.jpg,320,320,white,112,47,258,236
Alfonso_Cuaron_0001.jpg,320,320,white,81,64,240,245
Alfonso_Portillo_0001.jpg,320,320,white,74,47,253,248
Alfonso_Soriano_0001.jpg,320,320,black,94,65,247,270
Alfred_Ford_0001.jpg,320,320,white,23,48,197,248
Alfred_Sant_0001.jpg,320,320,white,90,39,241,232
Alfredo_di_Stefano_0001.jpg,320,320,white,94,30,243,250
Alfredo_Moreno_0001.jpg,320,320,brown,97,43,249,256
Alfredo_Pena_0001.jpg,320,320,white,89,69,215,256
Ali_Abbas_0001.jpg,320,320,brown,122,62,252,256
Ali_Abbas_0001.jpg,320,320,brown,29,20,120,198
Ali_Abbas_0002.jpg,320,320,brown,52,37,234,227
Ali_Abdullah_Saleh_0001.jpg,320,320,brown,38,99,204,250
Ali_Adbul_Karim_Madani_0001.jpg,320,320,brown,51,2,236,240
Ali_Ahmeti_0001.jpg,320,320,brown,74,38,236,241
Ali_Bin_Hussein_0001.jpg,320,320,brown,66,55,230,248
Ali_Fallahian_0001.jpg,320,320,brown,67,35,256,270
Ali_Hammoud_0001.jpg,320,320,brown,61,57,243,257
Ali_Khamenei_0001.jpg,320,320,brown,96,61,250,241
Ali_Khamenei_0002.jpg,320,320,brown,99,42,247,241
Ali_Khamenei_0003.jpg,320,320,brown,65,57,209,235
Ali_Mohammed_Maher_0001.jpg,320,320,brown,67,64,226,249
Ali_Naimi_0001.jpg,320,320,brown,85,49,225,236
Ali_Naimi_0002.jpg,320,320,brown,75,34,243,239
Ali_Naimi_0003.jpg,320,320,brown,96,51,234,229
Ali_Naimi_0004.jpg,320,320,brown,62,75,222,254
Ali_Naimi_0005.jpg,320,320,brown,90,52,226,253
Ali_Naimi_0006.jpg,320,320,brown,61,52,226,244
Ali_Naimi_0007.jpg,320,320,brown,78,55,221,249
Ali_Naimi_0008.jpg,320,320,brown,20,60,97,181
Ali_Naimi_0008.jpg,320,320,brown,104,58,229,245
Alice_Fisher_0001.jpg,320,320,white,89,49,239,252
Alice_Fisher_0002.jpg,320,320,white,79,60,248,249
Alicia_Hollowell_0001.jpg,320,320,white,75,38,239,234
Alicia_Keys_0001.jpg,320,320,black,74,46,230,253
Alicia_Molik_0001.jpg,320,320,white,96,61,238,267
Alicia_Silverstone_0001.jpg,320,320,white,76,48,270,240
Alicia_Silverstone_0002.jpg,320,320,white,87,44,257,241
Alicia_Witt_0001.jpg,320,320,white,84,65,244,253
Alimzhan_Tokhtakhounov_0001.jpg,320,320,yellow,60,16,262,254
Alimzhan_Tokhtakhounov_0002.jpg,320,320,yellow,81,48,236,252
Alina_Kabaeva_0001.jpg,320,320,white,69,71,225,236
Aline_Chretien_0001.jpg,320,320,white,51,26,238,243
Alisha_Richman_0001.jpg,320,320,white,76,52,224,235
Alison_Krauss_0001.jpg,320,320,white,117,75,227,236
Alison_Lohman_0001.jpg,320,320,white,112,64,281,258
Alison_Lohman_0002.jpg,320,320,white,245,51,320,286
Alison_Lohman_0002.jpg,320,320,white,102,53,230,234
Alistair_MacDonald_0001.jpg,320,320,white,1,30,80,195
Alistair_MacDonald_0001.jpg,320,320,white,104,55,225,247
Allan_Houston_0001.jpg,320,320,black,106,74,232,226
Allan_Kemakeza_0001.jpg,320,320,black,115,51,285,275
Allan_Wagner_0001.jpg,320,320,white,107,43,262,257
Allen_Iverson_0001.jpg,320,320,black,65,49,213,259
Allen_Iverson_0002.jpg,320,320,black,93,34,262,247
